Rank,School Name,Conference,Total Allocated,Key
220,Nicholls_State_23,SthLnd,"$11,164,752.00",Nicholls_State_23
221,Indiana-Purdue_Indianapolis_23,Hor,"$10,281,924.00",Indiana-Purdue_Indianapolis_23
222,Western_Illinois_23,Summit,"$11,703,844.00",Western_Illinois_23
223,Wisconsin-Green_Bay_23,Hor,"$8,898,030.00",Wisconsin-Green_Bay_23
224,South_Carolina_Upstate_23,BigSou,"$8,946,029.00",South_Carolina_Upstate_23
225,North_Carolina_Asheville_23,BigSou,"$8,884,929.00",North_Carolina_Asheville_23
226,Arkansas-Pine_Bluff_23,SWAC,"$8,689,626.00",Arkansas-Pine_Bluff_23
227,Chicago_State_23,Ind,"$8,398,712.00",Chicago_State_23
228,Maryland-Eastern_Shore_23,MEAC,"$7,875,993.00",Maryland-Eastern_Shore_23
229,Alcorn_State_23,SWAC,"$6,863,951.00",Alcorn_State_23
230,Coppin_State_23,MEAC,"$5,254,060.00",Coppin_State_23
231,Mississippi_Valley_State_23,SWAC,"$4,040,925.00",Mississippi_Valley_State_23
232,New_Orleans_23,SthLnd,"$4,810,778.00",New_Orleans_23
