School Name_x,Generated Revenue,Year,key,YEAR,School Name_y,SEED,ROUND,POWER RATING,Rank,School Name,Conference,Total Allocated
Marshall,"$1,949,299.00",2021-22,Marshall_22,,,,,,,,,
Marshall,"$2,100,964.00",2022-23,Marshall_23,,,,,,82.0,Marshall_23,SBC,"$39,350,986.00"
,,,Maryland-Baltimore_Cty_23,,,,,,134.0,Maryland-Baltimore_Cty_23,AmEast,"$18,788,921.00"
,,,Maryland-Eastern_Shore_23,,,,,,228.0,Maryland-Eastern_Shore_23,MEAC,"$7,875,993.00"
Maryland,"$12,697,587.00",2021-22,Maryland_22,,,,,,,,,
Maryland,"$14,682,529.00",2022-23,Maryland_23,2023.0,Maryland,8.0,32.0,84.5,43.0,Maryland_23,Big 10,"$114,385,462.00"
,,,Massachusetts-Lowell_23,,,,,,140.0,Massachusetts-Lowell_23,AmEast,"$22,192,454.00"
Massachusetts,"$587,017.00",2021-22,Massachusetts_22,,,,,,,,,
Massachusetts,"$734,484.00",2022-23,Massachusetts_23,,,,,,66.0,Massachusetts_23,A10,"$52,853,964.00"
,,,McNeese_State_23,,,,,,200.0,McNeese_State_23,SthLnd,"$13,321,532.00"
Memphis,"$5,873,945.00",2021-22,Memphis_22,2022.0,Memphis,9.0,32.0,84.9,,,,
Memphis,"$5,254,237.00",2022-23,Memphis_23,2023.0,Memphis,8.0,64.0,84.9,60.0,Memphis_23,AAC,"$62,174,875.00"
Miami (Ohio),"$476,262.00",2021-22,Miami_(Ohio)_22,,,,,,,,,
Miami (Ohio),"$587,341.00",2022-23,Miami_(Ohio)_23,,,,,,91.0,Miami_(Ohio)_23,MAC,"$37,880,709.00"
,,,Miami_FL_22,2022.0,Miami FL,10.0,8.0,81.1,,,,
,,,Miami_FL_23,2023.0,Miami FL,5.0,4.0,83.6,,,,
Michigan,"$21,141,253.00",2021-22,Michigan_22,2022.0,Michigan,11.0,16.0,84.7,,,,
Michigan,"$20,902,365.00",2022-23,Michigan_23,,,,,,4.0,Michigan_23,Big 10,"$193,559,375.00"
,,,Michigan_St._22,2022.0,Michigan St.,7.0,32.0,83.5,,,,
,,,Michigan_St._23,2023.0,Michigan St.,7.0,16.0,83.8,,,,
Michigan State,"$28,099,386.00",2021-22,Michigan_State_22,,,,,,,,,
Michigan State,"$25,540,501.00",2022-23,Michigan_State_23,,,,,,12.0,Michigan_State_23,Big 10,"$156,449,795.00"
Middle Tennessee,"$773,230.00",2021-22,Middle_Tennessee_22,,,,,,,,,
Middle Tennessee,"$737,789.00",2022-23,Middle_Tennessee_23,,,,,,96.0,Middle_Tennessee_23,CUSA,"$35,614,512.00"
Minnesota,"$17,667,197.00",2021-22,Minnesota_22,,,,,,,,,
Minnesota,"$17,411,807.00",2022-23,Minnesota_23,,,,,,29.0,Minnesota_23,Big 10,"$130,285,463.00"
,,,Mississippi_23,,,,,,30.0,Mississippi_23,SEC,"$138,796,990.00"
,,,Mississippi_St._23,2023.0,Mississippi St.,11.0,68.0,81.8,,,,
Mississippi State,"$8,540,438.00",2021-22,Mississippi_State_22,,,,,,,,,
Mississippi State,"$9,078,561.00",2022-23,Mississippi_State_23,,,,,,40.0,Mississippi_State_23,SEC,"$105,841,622.00"
,,,Mississippi_Valley_State_23,,,,,,231.0,Mississippi_Valley_State_23,SWAC,"$4,040,925.00"
,,,Missouri-Kansas_City_23,,,,,,210.0,Missouri-Kansas_City_23,Summit,"$12,893,022.00"
Missouri,"$11,838,733.00",2021-22,Missouri_22,,,,,,,,,
Missouri,"$14,657,876.00",2022-23,Missouri_23,2023.0,Missouri,7.0,32.0,81.4,28.0,Missouri_23,SEC,"$125,621,128.00"
,,,Missouri_State_23,,,,,,114.0,Missouri_State_23,MVC,"$29,915,772.00"
,,,Montana_23,,,,,,118.0,Montana_23,BigSky,"$22,515,985.00"
,,,Montana_St._22,2022.0,Montana St.,14.0,64.0,74.3,,,,
,,,Montana_St._23,2023.0,Montana St.,14.0,64.0,75.3,,,,
,,,Montana_State_23,,,,,,127.0,Montana_State_23,BigSky,"$26,119,361.00"
,,,Morehead_State_23,,,,,,213.0,Morehead_State_23,OVC,"$11,639,966.00"
,,,Morgan_State_23,,,,,,218.0,Morgan_State_23,MEAC,"$14,924,648.00"
,,,Murray_St._22,2022.0,Murray St.,7.0,32.0,81.3,,,,
,,,Murray_State_23,,,,,,158.0,Murray_State_23,MVC,"$19,210,384.00"
NC State,"$16,179,177.00",2021-22,NC_State_22,,,,,,,,,
NC State,"$17,090,330.00",2022-23,NC_State_23,,,,,,,,,
,,,Nebraska-Omaha_23,,,,,,128.0,Nebraska-Omaha_23,Summit,"$21,502,666.00"
